Dates,SPX_MOV_AVG_200D,SPX_RSI_14D,SPX_MOV_AVG_50D,SPX_PX_LAST,SPX_PX_OPEN,SPX_PX_HIGH,SPX_PX_LOW,SPX_PX_VOLUME,SPX_VOLATILITY_30D,SPX_BETA_ADJ_OVERRIDABLE,SPX_PX_HIGH_LOW_DIFFERENCE,CONCCONF_PX_LAST,NAPMPMI_PX_LAST,SPXINDEX_PE_RATIO,SPXINDEX_PX_TO_BOOK_RATIO,SPXINDEX_PX_TO_SALES_RATIO,SPXINDEX_EARN_YLD,USGG10YR_PX_LAST,VIX_PX_LAST
2016-05-31,2010.98,60.51,2067.05,2096.96,2100.13,2103.48,2088.66,913000000.0,10.29,1.0,14.82,92.4,51.4,19.0524,2.8324,1.8494,5.2487,1.8458,14.19
2016-06-01,2011.01,61.2,2068.01,2099.33,2093.94,2100.97,2085.1,574000000.0,10.3,1.0,15.87,92.4,51.4,19.0737,2.8357,1.8515,5.2428,1.8354,14.2
2016-06-02,2011.03,62.93,2069.12,2105.26,2097.71,2105.26,2088.59,638000000.0,10.2,1.0,16.67,92.4,51.4,19.1383,2.8395,1.8567,5.2251,1.7989,13.63
2016-06-03,2011.04,59.95,2070.36,2099.13,2104.07,2104.07,2085.36,578000000.0,10.25,1.0,18.71,92.4,51.4,19.0829,2.8313,1.8513,5.2403,1.7004,13.47
2016-06-06,2011.19,63.1,2071.83,2109.41,2100.83,2113.36,2100.83,540000000.0,10.33,0.99,12.53,92.4,51.4,19.1762,2.8452,1.8604,5.2148,1.7367,13.65
2016-06-07,2011.57,63.91,2073.34,2112.13,2110.18,2119.22,2110.18,547000000.0,10.32,0.99,9.04,92.4,51.4,19.2006,2.8489,1.8628,5.2082,1.7177,14.05
2016-06-08,2012.31,65.98,2074.62,2119.12,2112.71,2120.55,2112.71,504000000.0,10.35,0.99,7.84,92.4,51.4,19.2636,2.8582,1.8689,5.1911,1.7022,14.08
2016-06-09,2013.42,63.93,2075.65,2115.48,2115.65,2117.64,2107.73,494000000.0,9.93,0.99,9.91,92.4,51.4,19.2309,2.8535,1.8657,5.2,1.6867,14.64
2016-06-10,2014.57,54.24,2076.37,2096.07,2109.57,2109.57,2089.96,560000000.0,10.23,1.0,19.61,92.4,51.4,19.0544,2.8273,1.8486,5.2481,1.6404,17.03
2016-06-13,2015.26,47.46,2076.5,2079.06,2091.75,2098.12,2078.46,569000000.0,10.29,1.0,19.66,92.4,51.4,18.8997,2.8043,1.8336,5.2911,1.6096,20.97
2016-06-14,2015.7,46.09,2076.68,2075.32,2076.65,2081.3,2064.1,587000000.0,9.95,1.0,17.2,92.4,51.4,18.8658,2.7993,1.8303,5.3006,1.613,20.5
2016-06-15,2016.11,44.68,2077.21,2071.5,2077.6,2085.65,2069.8,584000000.0,9.79,1.0,15.85,92.4,51.4,18.831,2.7942,1.8269,5.3104,1.572,20.14
